filename,caption,paraphrased,negation
000000255749.jpg,A bus is stopped on a dark road.,"On the dark road, a bus is stopped.",A bus is speeding down a dark road.
000000102356.jpg,a person sits on a motor bike with a cart extended,A person is seated on a motorcycle with an extended cart.,A person is standing beside a motor bike with a cart extended.
000000381639.jpg,this is a little child standing in an airport,"In an airport, a little child is standing.",This is a little child sitting in an airport.
000000035963.jpg,A cross with teddy bears tied to it.,The teddy bears are tied to the cross.,A cross with teddy bears lying next to it.
000000034139.jpg,a huge suitcase with a bunch of stickers on it,A large suitcase with numerous stickers adorning its surface.,A huge suitcase without any stickers on it.
000000227478.jpg,"two women sitting on a park bench, one looking over their shoulder","Two women are seated on a park bench, with one of them looking over their shoulder.","Two women standing beside a park bench, one looking over their shoulder."
000000171190.jpg,A ground of people sitting around a table holding wine glasses in their hands.,A group of people holding wine glasses in their hands are sitting around a table.,A ground of people sitting around a table clinking wine glasses together.
000000350002.jpg,a person in a dress and pale makeup sitting by a table,A person in a dress and pale makeup is seated beside a table.,A person in a dress and pale makeup standing by a table.
000000123321.jpg,This is a broccoli carrot soup with a lot of broth.,This soup containing broccoli and carrot has a lot of broth.,This is a broccoli carrot soup without a lot of broth.
000000414034.jpg,A kid sitting on a bed with a remote.,The kid holding the remote is sitting on a bed.,A kid sitting next to a bed with a remote.
000000368294.jpg,A person making cigars in a factory with a pink towel on their head.,"A person is in a factory, making cigars while wearing a pink towel on their head.",A person making cigars in a factory without a pink towel on their head.
000000183127.jpg,A surfer rides the face of a wave.,A person while surfing rides the surface of a wave.,A surfer falls off the face of a wave.
000000562243.jpg,A person with glasses and wearing a tie poses for a profile picture.,A person poses for a profile picture while wearing a tie and glasses.,A person without glasses and wearing a tie poses for a profile picture.
000000239537.jpg,A tennis player hitting a ball in a low position.,"In a low position, the tennis player is hitting the ball.",A tennis player hitting a ball from an above position.
000000151000.jpg,A person holding a camera is taking a picture.,A picture is being taken by a person holding a camera.,A person putting away a camera.
000000025560.jpg,A cat perches on top of an entertainment center in front of a TV.,An entertainment center in front of a TV has a cat perched on top of it.,A cat perches next to an entertainment center in front of a TV.
000000199551.jpg,A young child sleeping on floral printed sheets,"On floral printed sheets, a young child is sleeping.",A young child playing on floral printed sheets.
000000508730.jpg,A set of twins who are taking a bath.,A pair of twins that are bathing.,A set of twins who are getting out of a bath.
000000134112.jpg,A dog is lying next to a laptop computer.,A laptop computer is positioned beside a lying dog.,A dog is sleeping on top of a laptop computer.
000000283520.jpg,Two people standing in front of some trees.,Some trees are behind a couple of standing people.,Two people standing behind some trees.
000000398237.jpg,A small child is holding onto lawn decorations.,The lawn decorations are being held onto by a small child.,A small child is reaching for lawn decorations.
000000284282.jpg,A blender is sitting next to a printer.,Next to the printer is a blender.,A blender is sitting behind a printer.
000000108026.jpg,A gamer holding a controller and using a keyboard,A gamer is using a keyboard and holding a controller.,A gamer holding a controller and throwing away a keyboard.
000000187243.jpg,A person is laying on their back on the floor of a bathroom.,The person is lying on their back on the bathroom floor.,A person is sitting on the floor of a bathroom.
000000300659.jpg,Several jets that are flying in the air performing tricks.,"In the air flying and performing tricks, are several jets.",Several jets that are taxiing on the runway preparing for takeoff.
000000173044.jpg,A tall tower with a clock stands in front of a skyscraper.,A skyscraper stands behind of a tall tower with a clock.,A tall tower with a clock stands behind a skyscraper.
000000564127.jpg,A white toilet with a black seat on top of a tiled floor.,A white toilet on positioned on a tiled floor has a black seat,A white toilet with a black seat next to a tiled floor.
000000259690.jpg,A person is helping an athlete on a sport field.,An athlete is assisted by someone on a sports field.,A person is helping an athlete next to a sport field.
000000099810.jpg,A child is eating donut holes while sitting at a dinner table.,A child is sitting at a dinner table and eating donut holes.,A child is throwing donut holes while sitting at a dinner table.
000000301061.jpg,An elephant in the back of a truck trailer.,A truck trailer has an elephant in its back.,An elephant on top of a truck trailer.
000000187271.jpg,A vintage yellow refrigerator surrounded by wood cabinetry.,Wooden cabinetry surrounding a classic yellow refrigerator.,A vintage yellow refrigerator hidden behind wood cabinetry.
000000289516.jpg,A clock set to twenty after three in a field,A clock set to 20 after 3 in a field.,A clock set to twenty after three beside a field.
000000122606.jpg,A bus parked to the side of an empty road.,An empty road is positioned beside a parked bus.,A bus parked in the middle of an empty road.
000000559543.jpg,A little child in a pink shirt holding a game controller.,The little child holding the game controller is wearing a pink shirt.,A little child in a pink shirt beside a game controller.
000000284698.jpg,A person taking a picture in a side car mirror with his cell phone.,A picture is taken in a side car mirror with a cell phone by a person,A person is showing a picture in a side car mirror with his cell phone.
000000183716.jpg,Two young kids in uniforms sitting closely together.,Two young kids in uniforms are seated closely together.,Two young kids in uniforms standing far apart.
000000163640.jpg,A couple of men standing in front of a building.,A couple of men are standing in front of a building.,A couple of men sitting in front of a building.
000000163640.jpg,Two men getting food at an outside restaurant.,"From an outside restaurant, two men are getting food.",Two men sharing food at an outside restaurant.
000000176606.jpg,A goat leans propped against a grassy surface.,"Against a grassy surface, a goat is leaned and propped.",A goat sits propped against a grassy surface.
000000308430.jpg,Someone is cooking vegetarian stir fry in a skillet.,The person is preparing vegetarian stir fry in a skillet.,Someone is cooking vegetarian stir fry out of a skillet.
000000520301.jpg,A brown dog is looking outside of the car window.,"Outside of the car window, a brown dog is looking.",A brown dog is sleeping inside the car.
000000297578.jpg,A person lighting a cigarette as they walks on a city street.,A person is walking on a city street while lighting a cigarette.,A person extinguishing a cigarette as they crosses a city street.
000000151000.jpg,A person taking pictures on a busy street.,"On a busy street, a person is taking pictures.",A person chatting on a busy street.
000000109798.jpg,A variety of doughnuts sitting on a paper plate.,A paper plate has a variety of doughnuts sitting on it.,A variety of doughnuts scattered around a paper plate.
000000537506.jpg,A group of people standing on the side of a road.,A gathering of people are standing on the roadside.,A group of people sitting on the side of a road.
000000500257.jpg,Men in blue shirts push carts of luggage in an airport.,Carts of luggage are pushed by men in blue shirts in an airport.,Men outside of the airport push carts of luggage.
000000352900.jpg,"A plate full of noodles and broccoli, next to a knife and fork.",A knife and a fork are positioned beside the plate filled with noodles and broccoli.,"A plate full of noodles and broccoli, across from a knife and fork."
000000403385.jpg,A bathroom that has a broken wall in the shower.,The shower in the bathroom has a broken wall.,A bathroom that has a broken wall outside of the shower.
000000180560.jpg,One person carrying a cake with candles and another person in the background.,A person holding a cake with candles in the foreground with another person in the background.,One person dropping a cake with candles and another person in the background.
000000087875.jpg,A fire hydrant in a grassy field next to a bush,"A grassy field, adjacent to a bush, contains a fire hydrant.",A fire hydrant in a grassy field far from a bush.
000000396274.jpg,A plant in a garden near a white building.,A plant is positioned in a garden beside a white building.,A plant in a garden far from a white building.
000000520301.jpg,A dog looking out the window of a car.,The dog is positioned inside the car and is looking out of the window.,A dog jumping out of the window of a car.
000000193348.jpg,there is a young child that is brushing his teeth,The young child is brushing his teeth.,There is a young child that is putting away his toothbrush.
000000491497.jpg,A fluffy white chair that faces away from a television.,A television is faced away from by a fluffy white chair.,A fluffy white chair that faces towards a television.
000000101762.jpg,A cat standing next to a bike parked against a wall.,A bike parked against a wall beside a standing cat.,A cat sleeping next to a bike parked against a wall.
000000326541.jpg,A crowd of people holding their cameras up taking pictures.,"A group of individuals with cameras raised, capturing images.",A crowd of people holding their cameras up looking at the scenery.
000000311295.jpg,A group of zebras in a field by some trees.,A group of zebras are positioned near some trees in a field.,A group of zebras are running across a field near some trees.
000000577539.jpg,"A blue plate filled with marshmallows, chocolate chips and banana.","Marshmallows, chocolate chips, and banana filled the blue plate.","A blue plate empty of marshmallows, chocolate chips and banana."
000000057238.jpg,a room showing a very big fridge and a dining table,The dining table is positioned next to the big fridge in the room.,A room hiding a very big fridge and a dining table.
000000153343.jpg,two teddy bears that are large sitting in a small garden,"In a small garden, there are two large teddy bears sitting.",Two large teddy bears are playing in a small garden.
000000089670.jpg,a two tier cake with some frosting and strawberries in the middle,"The cake has two tiers, with frosting and strawberries placed in the middle.",A two tier cake with some frosting and strawberries on top of it.
000000562121.jpg,Two zebras fighting in a cloud of dust,"In a cloud of dust, two zebras are engaged in combat.",Two zebras running through a cloud of dust.
000000281179.jpg,An empty street at night with lots of lights in the background.,"The street with many lights in the background is empty at night,",An empty street at night without any lights in the background.
000000051961.jpg,a coin meter that has paint all over it,The paint is all over the coin meter.,A coin meter that is brand new.
000000184384.jpg,A piece of cake with butter on it sits next to an orange slice.,An orange slice is positioned beside a slice of cake with butter on it.,A piece of cake with butter on it is far from an orange slice.
000000485802.jpg,A plane flying straight up and high in the sky leaves a tail of smoke., A tail of smoke is left by a plane flying straight up and high in the sky.,A plane landing on the runway leaves a trail of smoke behind.
000000138115.jpg,A person puckering his lips holding an orange,A person is holding an orange while puckering his lips.,A person juggling oranges with puckered lips.
000000270244.jpg,A zebra all by itself in the green forest.,The zebra is all alone in the green forest.,A zebra all by itself outside of the green forest.
000000414795.jpg,A herd of elephants being herded into a river while tourists take photos.,A group of elephants are being directed into a river while tourists take photographs.,A herd of elephants swimming in a river while tourists take photos.
000000163257.jpg,A person holding a pink umbrella standing on his tip toes.,A person is standing on his tip toes while holding a pink umbrella.,A person holding a pink umbrella jumping on his tip toes.
000000462629.jpg,Old appliances outside the back door of a repair shop.,Old appliances are placed outside the repair shop's back door.,Old appliances inside the back door of a repair shop.
000000507223.jpg,A person that is standing in the dirt with a bat.,A person with a bat is standing in the dirt.,A person that is sitting in the dirt with a bat.
000000076731.jpg,A pen is sitting on top of a laptop.,The pen is situated on top of the laptop.,A pen is sitting beside a laptop.
000000070158.jpg,Three zebra standing next to each other on a dirt hillside.,"On a dirt hillside, three zebras are standing next to each other.",Three zebra standing far from each other on a dirt hillside.
000000370711.jpg,A person's reflection taking a picture through a shop window.,A person's reflection is captured through a shop window as they takes a picture.,A person's reflection not in a picture in a shop window.
000000331817.jpg,A table with several dishes on it with a television.,A television is placed on a table alongside several dishes.,A table with several dishes beside it with a television.
000000472046.jpg,Empty stylish kitchen and living room with big picture windows.,Big picture windows are featured in an empty stylish kitchen and living room.,Empty stylish kitchen and living room without big picture windows.
000000341719.jpg,Several people standing in the snow near trees.,"Near trees in the snow, several individuals are standing.",Several people standing in the snow very far from trees.
000000185890.jpg,Two person wearing no shoes playing video games,"Two women, without shoes, are playing video games.",Two women wearing no shoes are watching a movie.
000000080671.jpg,someone that has some skiies on in the snow,Someone is wearing skiis in the snow.,Someone holding skiies is in the snow.
000000140658.jpg,A brick structure with a clock tower in the background.,A clock tower is positioned in the background of a brick structure.,A brick structure with a clock tower in the forefront.
000000566524.jpg,Two people walking along a side walk next to a train on the tracks.,Two individuals stroll along a sidewalk adjacent to a train traveling on the tracks.,Two people walking along a side walk crossing a train on the tracks.
000000541055.jpg,A group of people on skis at a peak of a mountain.,A group of skiers at the mountain summit.,A group of people on skis descending from the peak of a mountain.
000000323355.jpg,A young child dressed in yellow holding a pizza in a box.,The box with pizza is in the hands of the young child wearing an yellow dress.,A young child not wearing yellow is holding a pizza in a box.
000000131556.jpg,A skier stands on a small ledge in the snow.,A small ledge in the snow is stood on by a skier.,A skier is sitting on a small ledge in the snow.
000000154425.jpg,A young child flying a colorful kite on top of a sidewalk.,A young child flying a colorful kite atop a sidewalk.,A young child running with a colorful kite on a sidewalk.
000000352584.jpg,an odd looking toilet is against a wall,Positioned against the wall is an odd looking toilet.,An odd looking toilet is away from the wall.
000000506656.jpg,a couple of horses are standing in the street,A few horses are standing in the street.,A couple of horses are crossing the street.
000000078959.jpg,A strange plant hanging off a banana tree.,A peculiar plant is dangling from a banana tree.,A strange plant growing next to a banana tree.
000000030504.jpg,A tall person is on snow skis on a pathway.,"On a pathway, the tall person is on snow skis.",A tall person is beside snow skis on a pathway.
000000263463.jpg,A dog hanging out of a back door window.,"Out of the back door window, the dog hangs out out.",A dog is sitting on the sill of a back door window.
000000202228.jpg,A person taking a picture of himself in a mirror.,"In the mirror, a person is taking a picture of himself.",A person deleting a picture of himself in a mirror.
000000293804.jpg,A comfortable living room with brown leather couches and a fireplace,A cozy living room furnished with brown leather couches and features a fireplace.,A bare living room without any furniture or decorations.
000000389566.jpg,A herd of sheep are blocking the road.,The road is obstructed by a flock of sheep.,A herd of sheep are next to the road.
000000369771.jpg,Two plastic containers sitting on top of a wooden table.,The wooden table has two plastic containers positioned on top of it.,Two plastic containers next to a wooden table.
000000008690.jpg,Two young kids petting goats in a pen.,Goats located in a pen are being petted by a couple of young kids.,Two young kids feeding goats in a pen.
000000140640.jpg,A group of people wearing hats while standing at a dessert table.,A group of individuals are standing beside a dessert table wearing hats.,A group of people holding hats while standing at a dessert table.
000000558854.jpg,"A table with sandwiches, chili, french fries, and a drink.","The table is stocked with sandwiches, french fries, chili, and a beverage.","A table without sandwiches, chili, french fries, and a drink."
000000219578.jpg,A dog and cat are sleeping together on an orange couch.,"On an orange couch, a dog and cat are sleeping together.",A dog and cat are playing together on an orange couch.
000000101068.jpg,a person is swinging a baseball bat outside,The baseball bat is being swung by a person outside.,A person is outside watching someone swing a baseball bat.
000000301061.jpg,A person pulls an elephant out of a truck.,An elephant is being pulled out of a truck by an individual.,A person rides on top of an elephant in a truck.
000000269314.jpg,A cat sitting on top of a banana tree.,The cat sits atop the banana tree.,A cat sitting next to a banana tree.
000000125062.jpg,A group of teddy bears leaning against a row of movies,Against a row of movies a group of teddy bears are leaning.,A group of teddy bears stacked on top of a row of movies.
000000031050.jpg,A vase with flowers on a display near a wall,A display near a wall holds a vase with flowers.,A vase with flowers next to a display near a wall.
000000465675.jpg,A beach with two boats and a tractor.,A tractor and a couple of boats are on the beach.,A beach without any boats or tractors.
000000144784.jpg,A hand with finger on a blender filled with liquid.,A blender filled with liquid is touched by a hand with a finger.,A hand with finger on a blender that is empty.
000000099182.jpg,A person sitting on a bed looking at a book,A person looking at a book while sitting on a bed,A person leaning against a bed looking at a book.
000000045550.jpg,a close up of a person holding up a plate of food,A close-up of a plate of food being held by a person.,A close up of a person putting down a plate of food.
000000356427.jpg,A person standing next to train tracks with bags of luggage.,The person with luggage bags is standing beside the train tracks.,A person walking along train tracks with bags of luggage.
000000379453.jpg,"A military jet flying through the air, overhead.",A military jet is flying overhead through the air.,A military jet landing on the runway.
000000550426.jpg,A vase filled with red and white flowers on top of a table.,The vase positioned on top of a table is adorned with white and red flowers.,A vase filled with red and white flowers beside a table.
000000190756.jpg,A person in mid air while riding a motorbike,The person is riding a motorbike in mid-air.,A person is crashing on a motorbike in mid air.
000000219283.jpg,A teddy bear is sitting in front of a group of boxes.,A group of boxes is positioned behind a seated teddy bear.,A teddy bear is sitting behind a group of boxes.
000000530099.jpg,A orange calico cat on top of a vehicle.,The orange calico cat is positioned on top of the vehicle.,An orange calico cat inside a vehicle.
000000293804.jpg,THERE IS A FIRE BURNING IN THE FIREPLACE IN A SITTING ROOM,"The fireplace is located in the sitting room, and a fire is burning within it.",The fire in the fireplace in a sitting room has been extinguished.
000000273715.jpg,A couple of people with some skis in the snow.,Some skis are held by a couple of people in the snow.,A couple of people without skis in the snow.
000000579893.jpg,a close up of a street sign with a sky background,A sky background is shown in a close-up of a street sign.,A close up of a street sign without a sky background.
000000530099.jpg,"An orange, black and white cat on top of a car.","A white, black and orange cat positioned on top of a car.","An orange, black and white cat next to a car."
000000143931.jpg,A political candidate advertisement on the side of a coach bus.,The coach bus has a political candidate advertisement on its side.,A political candidate advertisement behind a coach bus.
000000310072.jpg,A bench on cement in a park,"In a park, a bench is positioned on cement.",A bench next to cement in a park.
000000270244.jpg,A zebra standing in a grassy field by a woods.,A zebra is positioned in a grassy field beside a wooded area.,A zebra running through a grassy field by a woods.
000000473237.jpg,Small child in green shirt holding a slice of pizza to their face.,A little child wearing green shirt holds pizza slice near face.,Small child in a green shirt is dropping a slice of pizza from their hand.
000000274687.jpg,A bicycle is standing next to a bed in a room.,The bicycle is positioned close to the bed in the room.,A bicycle is standing far from a bed in a room.
000000023034.jpg,A person standing on rocks near a person riding horses on a trail in the woods,A person riding horses on a trail in the woods is close to another person standing on rocks.,A person standing on rocks near a person walking on a trail in the woods.
000000268996.jpg,A street sign in front of a skyscraper,A street sign is situated before a skyscraper.,A street sign behind a skyscraper.
000000515445.jpg,Surfers stand with surfboards on a beach for the early morning sunrise.,The surfers stand on the beach for the early morning sunrise while holding their surfboards.,Surfers ride their surfboards on a beach for the early morning sunrise.
000000308394.jpg,A person with a cane and shopping bag sitting,A person sitting with a shopping bag and a cane.,A person with a cane and shopping bag standing.
000000057150.jpg,Little child holding up a big stuffed animal with other children in background.,Other children are situated in the background as a little child holds up a big stuffed animal.,A little child is letting go of a big stuffed animal with other children in the background.
000000021503.jpg,Plate of crackers with something spread on them next to a keyboard,Next to a keyboard is a plate with crackers having something spread on them.,Plate of crackers with something spread on them away from a keyboard.
000000029640.jpg,A skillet contains diced meat and mixed vegetables.,The mixed vegetables and diced meat are contained within the skillet.,The skillet is lacking diced meat and mixed vegetables.
000000461405.jpg,A lot of sheep all in on grassy area.,"In a grassy area, a lot of sheep are there.",A lot of sheep are running on a grassy area.
000000382088.jpg,A white horse is standing near a riding field.,The riding field is close to a standing white horse.,A white horse is galloping in a riding field.
000000121031.jpg,People are riding horses while going through the river.,The horses carrying people are navigating through the river.,People are riding horses while jumping over the river.
000000097679.jpg,A couple of cars parked in a lot.,"In a parking lot, a couple of cars are parked.",A couple of cars are driving out of a lot.
000000101762.jpg,A small cat is walking behind a bike.,A bike is in front of a small cat that is walking behind it.,A small cat is sleeping behind a bike.
000000126226.jpg,A group of people in a dugout with their gear,A group of individuals with their gear in the dugout.,A group of people nearby a dugout with their gear.
000000259571.jpg,A group of people in the back of a dump-truck.,A dump truck with a group of individuals positioned at the rear end.,A group of people are climbing onto the back of a dump-truck.
000000318080.jpg,Two brown bears growling at each other while laying on a log.,A couple of brown bears are laying on a log and growling at each other.,Two brown bears sleeping next to each other while laying on a log.
000000571718.jpg,A person with graying hair looks down at a stand full of yellow bananas.,The individual with graying hair is gazing down at a stand stocked with yellow bananas.,A person with graying hair walks past a stand full of yellow bananas.
000000579893.jpg,A red stop sign with two green street signs on top of it.,A couple of green street signs are placed above a red stop sign.,A red stop sign with two green street signs next to it.
000000039951.jpg,A little child with a red baseball cap playing tennis.,A little child is playing tennis while wearing a red baseball cap.,A little child with a red baseball cap watching tennis.
000000319935.jpg,There is a living room with a wide open view,A spacious living room with an expansive view.,There is a living room without a wide open view.
000000201072.jpg,A tennis player prepares to react during a match.,"During a tennis match, a player prepares to react.",A tennis player reaches out during a match.
000000164637.jpg,An old fashion sink with the cover painted pink near the mirror.,A vintage-style sink with a pink-painted cover is located close to the mirror.,An old fashion sink with the cover painted pink far from the mirror.
000000026690.jpg,A person is high in the air as he skateboards on the ramp.,A person skateboarding on the ramp is high in the air.,A person is close to the ground as he skateboards on the ramp.
000000580757.jpg,A fire hydrant painted exactly as the patriotic flag,The patriotic flag is painted on the fire hydrant.,A fire hydrant covered in the fictional flag.
000000189828.jpg,An airplane flying in the sky over some trees.,Some trees are located below the flying airplane in the sky.,An airplane flying in the sky beside some trees.
000000089556.jpg,A bunch of cars parked in a parking lot.,A group of parked cars in a parking lot.,A bunch of cars driving out of a parking lot.
000000430961.jpg,A baseball player lunges and reaches back with the ball.,The ball is lunged and reached back with by a baseball player.,A baseball player lunges and throws towards the ball.
000000232489.jpg,There are two slices of pizza on a paper plate.,A couple of pizza slices are positioned on a paper plate.,There are two slices of pizza next to a paper plate.
000000537991.jpg,A person has headphones on and is holding two cell phones.,A person is holding two cell phones while wearing headphones.,A person has headphones off and is holding two cell phones.
000000562121.jpg,Two zebras fighting in a open area with green bushes.,A couple of zebras in an open space with green bushes are engaged in a confrontation.,Two zebras grazing on an open area with green bushes.
000000117425.jpg,A young child with a spoon looking at a birthday cupcake.,A young child gazes at a birthday cupcake with a spoon in hand.,A young child without a spoon looking at a birthday cupcake.
000000334719.jpg,A family playing a game of frisbee on a wet sandy beach.,The frisbee is being played on a wet and sandy beach by a family.,A family playing with seashells on a wet sandy beach.
000000212559.jpg,A herd of sheep grazing on a pile of hay.,A stack of hay is grazed on by a group of sheep.,A herd of sheep resting beside a pile of hay.
000000466567.jpg,A donut being used as an ornament for a christmas tree,The donut is ornamenting the Christmas tree.,A donut being used as a snack for someone near a Christmas tree.
000000000724.jpg,A stop sign put upside down on a metal pole,The inverted stop sign is mounted on a metal pole.,A stop sign taken off from a metal pole.
000000154425.jpg,A child with a kite is standing on a sidewalk.,A kite is being held by a child who is standing on a sidewalk.,A child without a kite is standing on a sidewalk.
000000153568.jpg,A red stop sign with paper with writing on top of it.,Paper with writing is placed on top of a red stop sign.,A red stop sign without paper is standing there.
000000558854.jpg,"A table topped with a sandwich, chili beans and a container of fries.","A table laden with chili beans, a container of fries and a sandwich.","A table surrounded by a sandwich, chili beans and a container of fries."
000000356498.jpg,"A pancake topped with rice, spinach, and broccoli","Broccoli, spinach, and rice are the toppings on a pancake.","A pancake mixed with rice, spinach, and broccoli."
000000334399.jpg,A person standing in front of a clock.,A person is standing before a clock.,A person sitting in front of a clock.
000000352684.jpg,A professionally dressed person poses for the camera.,A person posing for the camera is dressed professionally.,A professionally dressed person walks towards the camera.
000000156076.jpg,A couple of men and one young person eating pizza.,"A group of three individuals, consisting of two men and one young person, are engaged in consuming pizza.",A couple of men and one young person cooking pizza.
000000008021.jpg,People watch a person delivering a lecture on a screen.,A screen shows a person delivering a lecture to an audience of people.,People are ignoring a person delivering a lecture on a screen.
000000347265.jpg,A young person skiing through a snow covered forest.,"Through a snow-covered forest, a young person is skiing.",A young person sledding through a snow covered forest.
000000123213.jpg,Two teams are playing baseball with the umpire touching the catcher.,The umpire is making contact with the catcher while two teams are playing baseball.,Two teams are playing baseball with the umpire coaching the catcher.
000000564133.jpg,a herd of elephants walking down a path in some tall grass,A group of elephants is strolling along a path through a tall grass.,A herd of elephants running along a path in some tall grass.
000000117425.jpg,A child holds a spoon and looks at a cupcake.,The cupcake is observed by the child holding a spoon.,A child is dropping a spoon while looking at a cupcake.
000000064462.jpg,A person on skis on a ski slope posing for a picture.,A person wearing skis is posing for a photograph while being positioned on the ski slope.,A person off skis on a ski slope posing for a picture.
000000520301.jpg,A brown medium sized dog stares out of a window.,The medium-sized brown dog gazes out of the window.,A brown medium sized dog stares into a window.
000000011197.jpg,Two signs with arrows and a person standing on the sidewalk.,The person is standing on the sidewalk with two signs with arrows nearby.,Two signs without arrows and a person walking on the sidewalk.
000000126226.jpg,Some baseball players sitting in a dugout watching a game.,A group of baseball players watching a game sitting in the dugout.,Some baseball players standing in a dugout watching a game.
000000286994.jpg,"One elephant standing away from the rest of the herd, drinking water.","An elephant standing apart from the herd, drinking water.","One elephant standing next to the rest of the herd, drinking water."
000000458992.jpg,The person has a knife and fork for eating the big pizza.,"For eating the large pizza, an individual is equipped with a knife and a fork.",The person doesn't have a knife and fork for eating the big pizza.
000000521540.jpg,The plate has a banana being sliced near cookies.,"Close to the cookies, the plate contains a banana being sliced.",The plate has a banana being sliced far from cookies.
000000426329.jpg,A dining table with cakes and a tv monitor.,A tv monitor and cakes are positioned on top of a dining table.,A dining table without cakes and a tv monitor.
000000011813.jpg,A tripod sitting next to a laptop.,A laptop is placed beside a tripod.,A tripod is on top of a laptop.
000000398237.jpg,A child with various yard decorations some of which look like fish.,Various yard decorations some of which look like fish are with a child.,A child without any yard decorations is playing.
000000295231.jpg,A bunch of sheep are walking around bored.,A herd of bored sheep are roaming around.,A bunch of sheep are running through the field excitedly.
000000114871.jpg,A plate with a banana and slices of cheese.,A plate contains cheese slices along with a banana.,A plate without a banana and slices of cheese.
000000555050.jpg,"A car driving in an intersection, past a furniture shop.",A car driving past a furniture store through the intersection.,"A car driving in an intersection, toward a furniture shop."
000000187243.jpg,A person laying on a bathroom floor next to a toilet.,A person lies beside a toilet on the bathroom floor.,A person sitting on a bathroom floor next to a toilet.
000000315257.jpg,A bird with outstretched blue wings is sitting on some bird feeder.,A bird perched on some bird feeder outstretched its blue wings.,A bird with outstretched blue wings is feeding from a bird feeder.
000000551439.jpg,A person holding a red book in their hand while sitting on a bed.,The person sits on the bed and holds a red book in hand.,A person is turning the pages of a red book while sitting on a bed.
000000211042.jpg,a cat is standing up to a white toilet,A white toilet is stood up to by a cat.,A cat is sleeping next to a white toilet.
000000201072.jpg,A person in a defensive stance with a tennis racquet.,A person holding a tennis racquet is in a defensive stance.,A person near a tennis court with a tennis racquet in hand.
000000205542.jpg,A large metal chair with a brown teddy bear in it.,A brown teddy bear is seated in a large metal chair.,A large metal chair with a brown teddy bear beside it.
000000092839.jpg,A white polar bear is laying down in its pen,The white polar bear is reclining in its enclosure.,A white polar bear is standing up in its pen.
000000206411.jpg,A person sprays the inside of a toilet.,Inside of a toilet is being sprayed by a person.,A person scrubs the inside of a toilet.
000000284991.jpg,A person drinking a beverage from a red bottle.,A person with a red bottle is drinking a beverage from it.,A person is spilling a beverage from a red bottle.
000000378454.jpg,A person gets air catching the Frisbee near the water.,A person leaps into the air to catch a Frisbee close to the water.,A person gets air catching the Frisbee far from the water.
000000213035.jpg,Two people are holding phones together to create a linking .,A couple of individuals are creating a linking connection by holding phones together.,"Two men are dropping phones, causing them to unlink."
000000537506.jpg,"A group of people wait near a wedding procession of cars, one of them holding two apples.","Near a wedding procession of cars, A gathering of individuals stand with one person holding couple of apples.","A group of people wait near a wedding procession of cars, one of them juggling two apples."
000000089556.jpg,A couple of silver cars parked around a fire hydrant.,"Around the fire hydrant, two silver cars are parked",A couple of silver cars were driving past a fire hydrant.
000000349837.jpg,Several refrigerators are lined up by a wall.,Multiple refrigerators are aligned against the wall.,Several refrigerators are sprawled across a wall.
000000511321.jpg,Scenic boats daily travel the Thames in England.,"Every day, picturesque boats navigate the Thames River in England.",Scenic boats daily dock at the Thames in England.
000000395801.jpg,People are walking down the sidewalk in a city.,Down the sidewalk people are waking.,People are skating down the sidewalk in a city.
000000156643.jpg,a person that is sitting down cutting a cake,cake is being cut by a person who is sitting down.,A person that is standing up cutting a cake.
000000166521.jpg,A living room with two televisions decorated for the holiday.,Two televisions are placed in a living room adorned with holiday decorations.,A living room with two televisions that are empty.
000000295316.jpg,Several people are riding the waves on their surfboards.,Numerous people are surfing on their surfboards riding the waves.,Several people are swimming in the waves.
000000148719.jpg,A red truck sitting on a grassy field next to other trucks.,The red truck is stationed alongside other trucks on the grassy field.,A red truck driving on a grassy field next to other trucks.
000000345466.jpg,A baseball player throws a pitch while others watch from the dugout.,Others observe from the dugout as the baseball player pitches.,A baseball player throws a pitch while others are cheering from the dugout.
000000423229.jpg,An old fashioned train riding on train tracks in a wooded area.,The train which is old fashioned rides on the tracks through a wooded area.,An old fashioned train passing by train tracks in a wooded area.
000000546964.jpg,A room filled with furniture and very large rugs.,A furnished room with ample furniture and huge rugs.,A room empty of furniture and very large rugs.
000000058029.jpg,A bathroom with a big mirror above the sink,The sink is positioned below the big mirror in the bathroom.,A bathroom with a big mirror next to the sink.
000000001000.jpg,A group of people that are standing near a tennis net.,A group of people are standing next to a tennis net.,A group of people that are standing far from a tennis net.
000000386352.jpg,A child swinging a tennis racket in a match.,A tennis racket is being swung by a child in a match.,A child dropping a tennis racket in a match.
000000519688.jpg,A person holding a wild animal in their arms,A wild animal is held by a person in their arms.,A person holding a wild animal on their shoulder.
000000166277.jpg,A cat is drinking something from a glass.,Something from a glass is being drunk by a cat. ,A cat is knocking over something from a glass.
000000360137.jpg,A person leaning up against a metal rail while holding a rainbow colored umbrella.,"while holding a vibrant rainbow Umbrella, a person stands leaning on a metal rail.",A person leaning up against a metal rail while putting down a rainbow colored umbrella.
000000579818.jpg,The old fashioned train is going over the bridge.,The bridge is being crossed by the old-fashioned train.,The old fashioned train is going under the bridge.
000000122927.jpg,Two game birds with redheads on the sidewalk.,A couple of red headed game birds are situated on the sidewalk.,Two game birds with redheads flying over the sidewalk.
